,angle,weather,date,image_name,spaces,spaces_occupied,spaces_unlabeled
PUCPR_Cloudy_2012-09-12_2012-09-12_07_18_22.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_18_22.jpg,100,12,0
PUCPR_Cloudy_2012-09-12_2012-09-12_10_00_43.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_10_00_43.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_52_34.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_52_34.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_44_59.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_44_59.jpg,100,94,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_21_07.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_21_07.jpg,100,93,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_55_29.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_55_29.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_49_42.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_49_42.jpg,100,90,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_39_15.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_39_15.jpg,100,70,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_05_16.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_05_16.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_36_50.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_36_50.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_08_18.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_08_18.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_20_57.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_20_57.jpg,100,1,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_36_36.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_36_36.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_13_32.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_13_32.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_39_44.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_39_44.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_28_48.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_28_48.jpg,100,28,1
PUCPR_Cloudy_2012-09-12_2012-09-12_10_21_41.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_10_21_41.jpg,100,93,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_18_46.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_18_46.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_31_24.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_31_24.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_44_29.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_44_29.jpg,100,82,0
PUCPR_Cloudy_2012-09-12_2012-09-12_10_05_57.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_10_05_57.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_24_01.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_24_01.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_15_44.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_15_44.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_34_01.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_34_01.jpg,100,51,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_07_55.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_07_55.jpg,100,9,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_05_25.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_05_25.jpg,100,92,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_10_40.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_10_40.jpg,100,93,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_26_11.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_26_11.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_23_35.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_23_35.jpg,100,17,1
PUCPR_Cloudy_2012-09-12_2012-09-12_09_34_30.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_34_30.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_10_16_27.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_10_16_27.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_54_56.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_54_56.jpg,100,90,0
PUCPR_Cloudy_2012-09-12_2012-09-12_10_26_57.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_10_26_57.jpg,100,91,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_26_22.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_26_22.jpg,100,93,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_47_02.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_47_02.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_07_13_08.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_07_13_08.jpg,100,11,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_00_11.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_00_11.jpg,100,91,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_15_53.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_15_53.jpg,100,93,0
PUCPR_Cloudy_2012-09-12_2012-09-12_09_29_16.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_09_29_16.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_08_42_04.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_08_42_04.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_10_11_12.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_10_11_12.jpg,100,95,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_10_30.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_10_30.jpg,100,0,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_57_29.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_57_29.jpg,100,2,0
PUCPR_Cloudy_2012-09-12_2012-09-12_06_52_16.jpg,PUCPR,Cloudy,2012-09-12,2012-09-12_06_52_16.jpg,100,0,0
